palier,mot,phrase,indice
2,à droite,Tourne à droite au coin de la rue.,
2,à gauche,La bibliothèque est à gauche de l'école.,
3,à peu près,Il reste à peu près dix minutes.,
3,à travers,Nous marchons à travers la forêt.,
2,absolument,Je dois absolument terminer mon devoir.,
2,accident,L'accident a bloqué la rue.,
1,accord,Nous avons trouvé un accord rapidement.,
1,adorer,Je vais adorer cette sortie.,
2,affreuse,La tempête était affreuse.,
2,affreux,Ce bruit est affreux.,
3,afin de,Je travaille afin de réussir.,
1,agir,Il faut agir avec prudence.,
3,agriculteur,L'agriculteur cultive des légumes.,
3,agricultrices,Les agricultrices récoltent les fraises.,
1,aide,Mon ami me donne de l'aide.,
2,ailleurs,Nous irons ailleurs s'il pleut.,
1,ainsi,Il a rangé ses livres ainsi que ses crayons.,
2,ajouter,Je vais ajouter du sel à la soupe.,
3,améliorer,Je veux améliorer mon écriture.,
1,ami,mon meilleur ami est gentil,
2,amitié,Notre amitié dure depuis longtemps.,
2,amusant,Ce jeu est amusant.,
2,amusante,Cette histoire est amusante.,
1,ancien,Mon ancien cahier est dans le tiroir.,
2,ancienne,L'ancienne école est devenue un musée.,
1,ange,L'ange est dessiné sur la carte.,
2,animaux,les animaux du zoo dorment,
2,anneaux,Les anneaux brillent au soleil.,
2,annoncer,Le directeur va annoncer le gagnant.,
3,apercevoir,Je peux apercevoir la montagne au loin.,
3,apparaître,Une étoile va apparaître dans le ciel.,
2,appeler,je vais appeler ma grand-mère,
1,arbre,l'arbre est très grand,
2,arracher,Le vent peut arracher les feuilles.,
2,arranger,Je vais arranger mon bureau.,
2,arrière,Je m'assois à l'arrière de l'autobus.,
2,arriver,Le train va arriver à midi.,
1,assoir,Je vais m'assoir près de la fenêtre.,
2,assurer,Le guide doit assurer notre sécurité.,
3,atmosphère,l'atmosphère de la Terre nous protège,
2,attacher,Il faut attacher ses lacets.,
3,au lieux de,Au lieu de courir je marche calmement.,
3,au moins,Il faut boire au moins un verre d'eau.,
1,aube,Les oiseaux chantent à l'aube.,
1,aucun,Aucun élève n'a oublié son cahier.,
1,aucune,Aucune chaise n'est libre près de la fenêtre.,
3,aujourd'hui,"aujourd'hui, il fait beau dehors",
3,auprès de,Je reste auprès de mon petit frère.,
1,autant,Je veux autant de billes que toi.,
2,autobus,j'attends l'autobus à l'arrêt,
2,automne,"en automne, les feuilles tombent",
2,automobile,L'automobile s'arrête au feu rouge.,
1,autre,Je veux essayer une autre couleur.,
3,autrefois,"autrefois, il n'y avait pas d'autos",
1,avance,Nous prenons de l'avance dans le projet.,
3,avant-hier,Avant-hier il a neigé.,
2,aventure,Cette randonnée est une grande aventure.,
1,ballon,le ballon de soccer roule sur l'herbe,
3,beaucoup,j'ai beaucoup d'amis à l'école,
1,bec,L'oiseau tient une graine dans son bec.,
1,besoin,J'ai besoin d'un crayon.,
3,bibliothèque,La bibliothèque est pleine de livres.,
2,bicyclette,je roule à bicyclette,
3,biologiques,j'achète des légumes biologiques,
2,biscuit,Je mange un biscuit au chocolat.,
2,bizarre,J'ai entendu un bruit bizarre dehors.,
1,blanc,le drap est tout blanc,
1,bleu,le ciel est bleu aujourd'hui,
1,bleuet,Je cueille un bleuet dans le champ.,
1,bol,Je mange ma soupe dans un bol.,
1,bon,Ce gâteau est très bon.,
1,bond,Le lapin fait un grand bond.,
2,bottine,Ma bottine est pleine de neige.,
1,bouger,Ne bouge pas pendant la photo.,
1,boule,Je fais une boule de neige.,
3,brouillard,Le brouillard cache la route.,
1,bulle,La bulle de savon éclate doucement.,
1,ça,Ça me fait plaisir de t'aider.,
1,cabane,Nous construisons une cabane dans l'arbre.,
2,cachette,Le chat trouve une cachette sous le lit.,
1,cage,L'oiseau est dans une cage ouverte.,
2,caillou,Je ramasse un caillou près du lac.,
2,capable,Tu es capable de réussir.,
2,capitaine,Le capitaine dirige son équipe.,
1,carton,Je découpe une étoile dans le carton.,
1,cas,Dans ce cas il faut demander de l'aide.,
1,casser,Attention de ne pas casser le verre.,
3,catastrophe,La fuite d'eau est une catastrophe.,
1,ce,Ce livre appartient à Léa.,
1,cela,Cela me semble une bonne idée.,
3,celle-ci,Celle-ci est ma chaise.,
3,celle-là,Celle-là est vraiment jolie.,
3,celles-ci,Celles-ci sont mes bottes rouges.,
3,celles-là,Celles-là sont très belles,
3,celui-ci,Celui-ci est plus petit que l'autre.,
3,celui-là,Celui-là appartient à mon frère.,
1,cent,j'ai compté jusqu'à cent,
3,centimètre,Le crayon mesure un centimètre de plus.,
1,centre,La fontaine est au centre du parc.,
2,cependant,Il pleut; cependant nous sortons avec nos bottes.,
3,ceux-ci,Ceux-ci sont mes cahiers préférés.,
3,ceux-là,Ceux-là sont trop grands pour moi.,
2,chaleur,La chaleur de l'été est agréable.,
2,champion,Le champion reçoit une médaille.,
3,championne,La championne lève les bras de joie.,
2,chance,J'ai de la chance aujourd'hui.,
2,chanceuse,Elle est chanceuse de partir en voyage.,
2,chanceux,Tu es chanceux d'avoir gagné.,
2,chapitre,Nous lisons le premier chapitre du roman.,
1,chat,le chat dort sur le tapis,
2,château,le roi habite un grand château,
2,chaussure,Ma chaussure est pleine de boue.,
1,chef,Le chef prépare une soupe.,
2,cheveux,mes cheveux sont bruns et bouclés,
1,chien,le chien aboie dans le jardin,
2,chocolat,Le chocolat fond dans ma main.,
2,chuchoter,Il faut chuchoter à la bibliothèque.,
1,ciel,le ciel est rempli de nuages,
2,cirque,Le cirque arrive en ville.,
1,classe,ma classe est au deuxième étage,
2,colère,Il respire pour calmer sa colère.,
2,compagnie,J'aime la compagnie de mes amis.,
3,complètement,Mon cahier est complètement rempli.,
1,compte,Je vérifie mon compte de points.,
2,conduire,Ma mère sait conduire une voiture.,
2,confiance,J'ai confiance en mes amis.,
3,connaître,Je veux connaître la réponse.,
3,construire,Nous allons construire une cabane.,
2,contenir,Cette boîte peut contenir des billes.,
2,content,Je suis content de te voir.,
2,contente,Ma sœur est contente de son dessin.,
3,continent,L'Afrique est un grand continent.,
2,contraire,Je fais le contraire de ce qui était prévu.,
1,corde,La corde sert à attacher le bateau.,
1,cote,La cote de ce livre est inscrite sur l'étagère.,
1,coupe,La coupe est remise au gagnant.,
1,couper,Je dois couper le papier droit.,
2,courage,Il faut du courage pour essayer.,
1,crayon,J'écris avec mon crayon.,
1,créer,Nous allons créer une affiche.,
1,creuse,La cuillère creuse la pâte.,
1,creux,Le trou est creux et profond.,
1,croix,Trace une croix sur la bonne réponse.,
2,cuillère,Je mange ma soupe avec une cuillère.,
2,culbute,Le gymnaste fait une culbute.,
2,dangereuse,Cette pente est dangereuse.,
2,dangereux,Ce chemin est dangereux quand il gèle.,
3,de bonne heure,Je me couche de bonne heure.,
3,de temps en temps,Je joue aux cartes de temps en temps.,
1,debout,Les élèves restent debout pour chanter.,
1,début,Le début du film est surprenant.,
2,débuter,Le spectacle va débuter bientôt.,
2,décider,Nous devons décider du jeu à choisir.,
2,déclarer,Le témoin doit déclarer ce qu'il a vu.,
1,défi,Le défi de math était amusant.,
2,déguiser,Je vais me déguiser en pirate.,
2,déjeuner,Je prends mon déjeuner à sept heures.,
3,délicieuse,La tarte aux pommes est délicieuse.,
3,délicieux,Le repas est délicieux.,
3,demain,"demain, c'est samedi",
2,départ,Le départ de la course est annoncé.,
2,derrière,Le ballon est derrière le divan.,
2,désert,Le désert est chaud le jour.,
3,désormais,Désormais je range mon sac le soir.,
2,dessous,Le chat dort dessous la table.,
1,dessus,Le cahier est dessus le bureau.,
2,détective,Le détective cherche des indices.,
2,détester,Je peux détester un aliment sans être impoli.,
3,détruire,Il ne faut pas détruire le nid.,
3,dictionnaire,je cherche un mot dans le dictionnaire,
1,dieu,Le mot dieu s'écrit souvent avec respect.,
2,différent,Chaque animal est différent.,
3,différente,Cette solution est différente de la mienne.,
2,difficile,Ce problème est difficile mais possible.,
3,difficulté,Je surmonte une difficulté avec patience.,
1,dîner,Nous allons dîner à la cafétéria.,
3,directeur,Le directeur accueille les élèves.,
2,direction,Nous suivons la bonne direction.,
3,directrice,La directrice parle au micro.,
3,disparaître,Le magicien fait disparaître une pièce.,
2,distance,La distance entre les villes est longue.,
1,dix,j'ai dix doigts au total,
1,dollar,Ce crayon coûte un dollar.,
3,domestique,Le chat est un animal domestique.,
1,double,Je prends une double portion de dessert.,
2,doucement,Ferme la porte doucement.,
2,douceur,La douceur de la couverture me réchauffe.,
1,doute,J'ai un doute sur la réponse.,
1,dragon,Le dragon crache du feu dans l'histoire.,
1,drôle,Ce clown est très drôle.,
1,durant,Nous restons silencieux durant le film.,
1,eau,je bois un grand verre d'eau,
2,échapper,Le ballon peut échapper de mes mains.,
2,échelle,Le pompier monte sur l'échelle.,
2,éclair,Un éclair illumine le ciel.,
2,éclairer,La lampe va éclairer la pièce.,
2,éclater,Le ballon peut éclater s'il est trop gonflé.,
1,école,je vais à l'école chaque matin,
2,écureuil,l'écureuil grimpe à l'arbre,
1,effet,Le vent a un effet sur les feuilles.,
2,effroyable,Un cri effroyable résonne dans la nuit.,
2,également,J'aime également les fraises.,
3,électricité,il y a une panne d'électricité,
3,électrique,La voiture électrique roule sans essence.,
2,élève,chaque élève écoute le professeur,
1,élire,La classe va élire un représentant.,
2,éloigner,Il faut s'éloigner du feu.,
2,embarquer,Nous allons embarquer dans le train.,
2,émotion,Une grande émotion me serre le cœur.,
2,empêcher,La pluie peut empêcher le match.,
2,emporter,Je vais emporter mon lunch.,
3,en arrière,Le chien marche en arrière pour jouer.,
2,en avant,Avance en avant jusqu'à la ligne.,
2,en bas,Le chat dort en bas de l'escalier.,
2,en haut,Le drapeau est en haut du mât.,
3,en train de,Je suis en train de lire.,
3,encyclopédie,une grosse encyclopédie illustrée,
2,endroit,C'est un bel endroit pour pique-niquer.,
1,ennui,L'ennui disparaît quand je lis.,
2,énorme,Un énorme nuage cache le soleil.,
2,ensemble,nous jouons ensemble dans la cour,
2,entrée,L'entrée du musée est gratuite aujourd'hui.,
1,envie,J'ai envie de dessiner un dragon.,
3,environnement,il faut protéger l'environnement,
2,envoyer,Je vais envoyer une carte postale.,
2,épaule,Mon sac repose sur mon épaule.,
2,époque,À cette époque les gens voyageaient à cheval.,
2,équipe,Notre équipe a gagné le match.,
2,escalier,Je monte l'escalier lentement.,
1,espace,Il faut laisser un espace entre les mots.,
2,espèce,Cette espèce d'oiseau vit près du lac.,
1,esprit,Il garde un esprit curieux.,
